,date,sun,moon,mercury,venus,mars,jupiter,saturn,uranus,neptune
2000-03-05,2000-03-05,3.582071475330616e+22,1.854709459861189e+20,1.5062778404776764e+16,3.905753687337422e+16,2381434488587508.5,1.088974385192803e+18,1.0845315067674653e+17,3566321621407937.0,1904080311486622.5
2000-03-06,2000-03-06,3.5802324949255106e+22,1.8932413241440518e+20,1.497459680644222e+16,3.882126566196974e+16,2370268425235378.0,1.0842568317321051e+18,1.0813864137888614e+17,3568865509967656.0,1905419682210990.8
2000-03-07,2000-03-07,3.578388161156711e+22,1.9338223129273336e+20,1.4809229688701212e+16,3.858894196988085e+16,2359211929849005.5,1.079626934400753e+18,1.0782871050510664e+17,3571498455025387.5,1906787944091190.2
2000-03-08,2000-03-08,3.5765391446523865e+22,1.9747180515306553e+20,1.457690612024338e+16,3.836049399779448e+16,2348264723498208.0,1.0750841719420593e+18,1.0752338730621974e+17,3574219928718104.5,1908184758246966.2
2000-03-09,2000-03-09,3.5746856392894494e+22,2.0145353821508164e+20,1.4288727200310942e+16,3.813584898854562e+16,2337426400320602.5,1.0706280010121356e+18,1.072226984790711e+17,3577029359474622.0,1909609769709347.0
2000-03-10,2000-03-10,3.572827335874939e+22,2.0522588050546498e+20,1.3955906030588494e+16,3.791493345918357e+16,2326696404096425.0,1.0662578502826662e+18,1.0692666776641498e+17,3579926134618254.0,1911062609045455.8
2000-03-11,2000-03-11,3.5709634364444493e+22,2.087147450769343e+20,1.3589167707851874e+16,3.7697673684633144e+16,2316074015112561.0,1.0619731162366036e+18,1.0663531563475358e+17,3582909605577576.5,1912542894844106.0
2000-03-12,2000-03-12,3.569092710574309e+22,2.1185152778581705e+20,1.319832879934689e+16,3.7483996386476296e+16,2305558349777344.5,1.0577731613991459e+18,1.0634865908283733e+17,3585979095302380.5,1914050236842206.8
2000-03-13,2000-03-13,3.5672135886317696e+22,2.1454703838406928e+20,1.2792046673879328e+16,3.727382955209682e+16,2295148373272155.0,1.0536573153245733e+18,1.0606671161078811e+17,3589133907172030.5,1915584239386833.5
2000-03-14,2000-03-14,3.565324283794338e+22,2.166714833660075e+20,1.2377711413532396e+16,3.706710330893103e+16,2284842923970104.5,1.0496248782912023e+18,1.0578948335731979e+17,3592373334607093.5,1917144504927998.2
2000-03-15,2000-03-15,3.563422934861543e+22,2.1805029144154767e+20,1.196144576251427e+16,3.686375079410986e+16,2274640747876694.0,1.045675127479282e+18,1.0551698139992058e+17,3595696670658222.5,1918730637276571.8
2000-03-16,2000-03-16,3.5615077624550085e+22,2.1848274833073783e+20,1.154817883126926e+16,3.666370896845003e+16,2264540541422114.5,1.0418073253649668e+18,1.0524921020883003e+17,3599103216865471.0,1920342244374912.2
2000-03-17,2000-03-17,3.559577228938098e+22,2.177843578125853e+20,1.1141763930736092e+16,3.646691931112859e+16,2254541000494529.0,1.0380207299592164e+18,1.0498617223920149e+17,3602592290556978.5,1921978940293804.0
2000-03-18,2000-03-18,3.5576301870361046e+22,2.1584398061854815e+20,1.0745117401845898e+16,3.627332830732851e+16,2244640872054621.2,1.0343146062015722e+18,1.047278686265085e+17,3606163229602448.5,1923640346142824.5
2000-03-19,2000-03-19,3.5556659972601014e+22,2.1267635491430203e+20,1.0360361914681148e+16,3.608288763374993e+16,2234839002590860.8,1.0306882373534061e+18,1.0447429991988694e+17,3609815393707589.0,1925326089651983.0
