time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-12-02T11:08:45.610Z,-22.0636,170.4315,22.28,5,mb,,101,3.694,1.11,us,us1000i0ez,2018-12-02T11:25:41.040Z,"170km WNW of Ile Hunter, New Caledonia",earthquake,4.3,6.4,0.101,31,reviewed,us,us
2018-12-02T10:21:25.120Z,-18.1496,-178.2528,522.67,5,mb,,46,3.539,1.19,us,us1000i0e2,2018-12-02T10:36:00.040Z,"280km N of Ndoi Island, Fiji",earthquake,10.9,8.6,0.105,29,reviewed,us,us
2018-12-02T04:52:15.820Z,61.3417,-149.9957,44.5,4.6,ml,,,,0.57,ak,ak20428017,2018-12-04T16:26:16.514Z,"12km NNW of Anchorage, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2018-12-02T03:36:49.040Z,-15.6278,167.9559,201.57,4.7,mb,,86,6.567,0.79,us,us1000i069,2018-12-02T03:54:59.040Z,"78km NE of Norsup, Vanuatu",earthquake,13.4,9.4,0.106,27,reviewed,us,us
2018-12-02T02:50:11.920Z,0.0124,123.5467,159.6,4.5,mb,,64,3.893,1.4,us,us1000i05l,2018-12-02T03:37:41.040Z,"55km SE of Bilungala, Indonesia",earthquake,8.9,9.7,0.121,20,reviewed,us,us
2018-12-01T23:59:20.400Z,-33.9352,-72.4067,13.93,4.8,mww,,79,0.715,0.84,us,us1000i02z,2018-12-02T13:57:54.201Z,"82km WSW of San Antonio, Chile",earthquake,3.8,4.2,0.073,18,reviewed,us,us
2018-12-01T23:55:24.150Z,-33.9375,-72.3453,10,5.5,mww,,54,0.669,1,us,us1000i02j,2018-12-05T17:36:37.207Z,"77km WSW of San Antonio, Chile",earthquake,3.6,0.9,0.059,28,reviewed,us,us
2018-12-01T22:36:09.810Z,-6.8498,104.9757,38.46,4.9,mb,,70,3.187,1.22,us,us1000i00h,2018-12-01T23:07:06.040Z,"72km W of Tugu Hilir, Indonesia",earthquake,7.3,6.8,0.074,58,reviewed,us,us
2018-12-01T18:39:31.780Z,-24.7459,179.9841,494.68,4.7,mb,,56,4.852,0.76,us,us1000hzuq,2018-12-05T15:42:52.040Z,"South of the Fiji Islands",earthquake,9.9,4.5,0.045,149,reviewed,us,us
2018-12-01T18:24:06.590Z,-19.235,-172.8239,10,5,mb,,79,2.742,0.97,us,us1000hzu1,2018-12-05T16:07:33.040Z,"138km ESE of Neiafu, Tonga",earthquake,8.1,1.9,0.083,48,reviewed,us,us
